"id","nombre_formateado","popularidad_categoria","velocidad_categoria","eficiencia","fecha_procesamiento"
"95","perl","Poco Usado","Rápido",1075.5,"2025-03-20T00:00:00.000Z"
"96","php","Poco Usado","Lento",1165.5,"2025-03-20T00:00:00.000Z"
"97","r","Poco Usado","Lento",514,"2025-03-20T00:00:00.000Z"
"98","python","Moderado","Rápido",2329,"2025-03-20T00:00:00.000Z"
"99","python","Muy Popular","Muy Rápido",4298,"2025-03-20T00:00:00.000Z"
"100","swift","Moderado","Muy Rápido",2347,"2025-03-20T00:00:00.000Z"
"101","go","Moderado","Rápido",2226,"2025-03-20T00:00:00.000Z"
"102","scala","Muy Popular","Rápido",3926,"2025-03-20T00:00:00.000Z"
"103","f#","Moderado","Lento",305.5,"2025-03-20T00:00:00.000Z"
"104","java","Moderado","Muy Rápido",1693,"2025-03-20T00:00:00.000Z"
"105","go","Moderado","Rápido",2021.5,"2025-03-20T00:00:00.000Z"
"106","perl","Poco Usado","Lento",963.5,"2025-03-20T00:00:00.000Z"
"107","go","Muy Popular","Rápido",4974,"2025-03-20T00:00:00.000Z"
"108","c#","Moderado","Lento",256.5,"2025-03-20T00:00:00.000Z"
"109","java","Poco Usado","Rápido",481.5,"2025-03-20T00:00:00.000Z"
"110","swift","Moderado","Lento",211.5,"2025-03-20T00:00:00.000Z"
"111","c#","Poco Usado","Muy Rápido",399.5,"2025-03-20T00:00:00.000Z"
"112","lua","Moderado","Muy Rápido",17050,"2025-03-20T00:00:00.000Z"
"113","python","Moderado","Lento",1966,"2025-03-20T00:00:00.000Z"
"114","perl","Moderado","Lento",183,"2025-03-20T00:00:00.000Z"
"115","c++","Muy Popular","Rápido",4376,"2025-03-20T00:00:00.000Z"
"116","go","Poco Usado","Muy Rápido",96.5,"2025-03-20T00:00:00.000Z"
"117","scala","Moderado","Rápido",3474,"2025-03-20T00:00:00.000Z"
"118","go","Moderado","Lento",3466,"2025-03-20T00:00:00.000Z"
"119","perl","Muy Popular","Lento",4113,"2025-03-20T00:00:00.000Z"
"120","javascript","Poco Usado","Lento",958.5,"2025-03-20T00:00:00.000Z"
"121","kotlin","Poco Usado","Lento",48.5,"2025-03-20T00:00:00.000Z"
"122","c++","Moderado","Muy Rápido",1549.5,"2025-03-20T00:00:00.000Z"
"123","php","Poco Usado","Lento",1314.5,"2025-03-20T00:00:00.000Z"
"124","java","Moderado","Rápido",2476.5,"2025-03-20T00:00:00.000Z"
"125","ruby","Moderado","Muy Rápido",3487.5,"2025-03-20T00:00:00.000Z"
"126","kotlin","Muy Popular","Rápido",4878,"2025-03-20T00:00:00.000Z"
"127","ruby","Poco Usado","Muy Rápido",736,"2025-03-20T00:00:00.000Z"
"128","haskell","Moderado","Rápido",3477.5,"2025-03-20T00:00:00.000Z"
"129","javascript","Muy Popular","Muy Rápido",4694.5,"2025-03-20T00:00:00.000Z"
"130","c#","Moderado","Rápido",1534.5,"2025-03-20T00:00:00.000Z"
"131","java","Moderado","Rápido",2872,"2025-03-20T00:00:00.000Z"
"132","r","Poco Usado","Muy Rápido",1487.5,"2025-03-20T00:00:00.000Z"
"133","kotlin","Muy Popular","Muy Rápido",3844.5,"2025-03-20T00:00:00.000Z"
"134","php","Poco Usado","Rápido",877,"2025-03-20T00:00:00.000Z"
"135","c#","Poco Usado","Lento",709.5,"2025-03-20T00:00:00.000Z"
"136","java","Moderado","Lento",2014,"2025-03-20T00:00:00.000Z"
"137","r","Poco Usado","Lento",1007,"2025-03-20T00:00:00.000Z"
"138","f#","Poco Usado","Muy Rápido",187.5,"2025-03-20T00:00:00.000Z"
"139","haskell","Muy Popular","Rápido",4627,"2025-03-20T00:00:00.000Z"
"140","go","Poco Usado","Muy Rápido",636,"2025-03-20T00:00:00.000Z"
"141","python","Poco Usado","Rápido",1422.5,"2025-03-20T00:00:00.000Z"
"142","r","Muy Popular","Rápido",4434,"2025-03-20T00:00:00.000Z"
"143","python","Poco Usado","Lento",1413.5,"2025-03-20T00:00:00.000Z"
"144","c#","Moderado","Lento",2012.5,"2025-03-20T00:00:00.000Z"
"145","objective-c","Poco Usado","Lento",457.5,"2025-03-20T00:00:00.000Z"
"146","python","Muy Popular","Muy Rápido",3595.5,"2025-03-20T00:00:00.000Z"
"147","perl","Muy Popular","Rápido",4184,"2025-03-20T00:00:00.000Z"
"148","f#","Moderado","Muy Rápido",1794.5,"2025-03-20T00:00:00.000Z"
"149","lua","Moderado","Lento",1861,"2025-03-20T00:00:00.000Z"
"150","dart","Poco Usado","Lento",668,"2025-03-20T00:00:00.000Z"
"151","dart","Poco Usado","Rápido",972,"2025-03-20T00:00:00.000Z"
"152","f#","Muy Popular","Rápido",4478,"2025-03-20T00:00:00.000Z"
"153","dart","Muy Popular","Muy Rápido",4836.5,"2025-03-20T00:00:00.000Z"
"154","perl","Moderado","Rápido",2872.5,"2025-03-20T00:00:00.000Z"
"155","kotlin","Poco Usado","Muy Rápido",147.5,"2025-03-20T00:00:00.000Z"
"156","rust","Muy Popular","Rápido",3626,"2025-03-20T00:00:00.000Z"
"157","objective-c","Moderado","Muy Rápido",2985.5,"2025-03-20T00:00:00.000Z"
"158","typescript","Moderado","Rápido",1524.5,"2025-03-20T00:00:00.000Z"
"159","dart","Poco Usado","Muy Rápido",348.5,"2025-03-20T00:00:00.000Z"
"160","kotlin","Moderado","Muy Rápido",26050,"2025-03-20T00:00:00.000Z"
"161","kotlin","Moderado","Rápido",2233,"2025-03-20T00:00:00.000Z"
"162","javascript","Muy Popular","Rápido",3775,"2025-03-20T00:00:00.000Z"
"163","typescript","Muy Popular","Lento",3619,"2025-03-20T00:00:00.000Z"
"164","kotlin","Muy Popular","Lento",4967.5,"2025-03-20T00:00:00.000Z"
"165","java","Poco Usado","Lento",66.5,"2025-03-20T00:00:00.000Z"
"166","typescript","Moderado","Lento",191.5,"2025-03-20T00:00:00.000Z"
"167","perl","Muy Popular","Lento",4909,"2025-03-20T00:00:00.000Z"
"168","java","Muy Popular","Lento",3958.5,"2025-03-20T00:00:00.000Z"
"169","kotlin","Moderado","Muy Rápido",3196.5,"2025-03-20T00:00:00.000Z"
"170","kotlin","Moderado","Rápido",2227.5,"2025-03-20T00:00:00.000Z"
"171","ruby","Poco Usado","Rápido",923.5,"2025-03-20T00:00:00.000Z"
"172","c++","Poco Usado","Lento",1405,"2025-03-20T00:00:00.000Z"
"173","go","Moderado","Lento",1662,"2025-03-20T00:00:00.000Z"
"174","typescript","Muy Popular","Lento",3713.5,"2025-03-20T00:00:00.000Z"
"175","dart","Moderado","Muy Rápido",1787,"2025-03-20T00:00:00.000Z"
"176","c++","Poco Usado","Lento",52.5,"2025-03-20T00:00:00.000Z"
"177","ruby","Moderado","Rápido",3182.5,"2025-03-20T00:00:00.000Z"
"178","perl","Moderado","Rápido",2728.5,"2025-03-20T00:00:00.000Z"
"179","kotlin","Moderado","Rápido",1975.5,"2025-03-20T00:00:00.000Z"
"180","objective-c","Muy Popular","Muy Rápido",4037.5,"2025-03-20T00:00:00.000Z"
"181","swift","Moderado","Lento",2610.5,"2025-03-20T00:00:00.000Z"
"182","scala","Muy Popular","Rápido",4631,"2025-03-20T00:00:00.000Z"
"183","perl","Poco Usado","Lento",412.5,"2025-03-20T00:00:00.000Z"
"184","javascript","Poco Usado","Muy Rápido",939,"2025-03-20T00:00:00.000Z"
"185","r","Muy Popular","Lento",369,"2025-03-20T00:00:00.000Z"
"186","dart","Moderado","Lento",3159.5,"2025-03-20T00:00:00.000Z"
"187","ruby","Moderado","Muy Rápido",2794.5,"2025-03-20T00:00:00.000Z"
"188","perl","Poco Usado","Rápido",1224,"2025-03-20T00:00:00.000Z"
"189","dart","Poco Usado","Lento",963,"2025-03-20T00:00:00.000Z"
"190","lua","Poco Usado","Rápido",1273.5,"2025-03-20T00:00:00.000Z"
"191","java","Muy Popular","Lento",3706,"2025-03-20T00:00:00.000Z"
"192","r","Moderado","Lento",1657,"2025-03-20T00:00:00.000Z"
"193","typescript","Moderado","Lento",2306.5,"2025-03-20T00:00:00.000Z"
"194","kotlin","Muy Popular","Lento",4617,"2025-03-20T00:00:00.000Z"
"195","rust","Poco Usado","Rápido",977.5,"2025-03-20T00:00:00.000Z"
"196","php","Moderado","Rápido",2525,"2025-03-20T00:00:00.000Z"
"197","python","Moderado","Muy Rápido",1895,"2025-03-20T00:00:00.000Z"
"198","perl","Poco Usado","Lento",106,"2025-03-20T00:00:00.000Z"
"199","perl","Poco Usado","Muy Rápido",244.5,"2025-03-20T00:00:00.000Z"
"200","ruby","Poco Usado","Rápido",527,"2025-03-20T00:00:00.000Z"
"201","perl","Muy Popular","Muy Rápido",4440,"2025-03-20T00:00:00.000Z"
"202","go","Poco Usado","Lento",121.5,"2025-03-20T00:00:00.000Z"
"203","dart","Poco Usado","Lento",1113.5,"2025-03-20T00:00:00.000Z"
"204","typescript","Poco Usado","Lento",91.5,"2025-03-20T00:00:00.000Z"
"205","dart","Poco Usado","Rápido",1280.5,"2025-03-20T00:00:00.000Z"
"206","f#","Poco Usado","Rápido",534.5,"2025-03-20T00:00:00.000Z"
"207","scala","Muy Popular","Lento",4319,"2025-03-20T00:00:00.000Z"
"208","c++","Moderado","Rápido",1928,"2025-03-20T00:00:00.000Z"
"209","f#","Poco Usado","Lento",409,"2025-03-20T00:00:00.000Z"
"210","c++","Moderado","Rápido",3229.5,"2025-03-20T00:00:00.000Z"
"211","f#","Moderado","Muy Rápido",3288.5,"2025-03-20T00:00:00.000Z"
"212","javascript","Poco Usado","Lento",119.5,"2025-03-20T00:00:00.000Z"
"213","rust","Poco Usado","Lento",312.5,"2025-03-20T00:00:00.000Z"
"214","php","Muy Popular","Rápido",4521.5,"2025-03-20T00:00:00.000Z"
"215","c++","Poco Usado","Muy Rápido",2550,"2025-03-20T00:00:00.000Z"
"216","swift","Poco Usado","Lento",1008.5,"2025-03-20T00:00:00.000Z"
"217","kotlin","Moderado","Rápido",3320,"2025-03-20T00:00:00.000Z"
"218","rust","Muy Popular","Lento",3566,"2025-03-20T00:00:00.000Z"
"219","typescript","Moderado","Muy Rápido",2897.5,"2025-03-20T00:00:00.000Z"
"220","dart","Moderado","Muy Rápido",1996.5,"2025-03-20T00:00:00.000Z"
"221","f#","Muy Popular","Lento",494.5,"2025-03-20T00:00:00.000Z"
"222","go","Moderado","Rápido",3527.5,"2025-03-20T00:00:00.000Z"
"223","c++","Muy Popular","Rápido",4779,"2025-03-20T00:00:00.000Z"
"224","c#","Moderado","Lento",3509,"2025-03-20T00:00:00.000Z"
"225","perl","Moderado","Lento",3011.5,"2025-03-20T00:00:00.000Z"
"226","haskell","Moderado","Rápido",1933,"2025-03-20T00:00:00.000Z"
"227","swift","Moderado","Rápido",1580.5,"2025-03-20T00:00:00.000Z"
"228","java","Moderado","Lento",282,"2025-03-20T00:00:00.000Z"
"229","swift","Muy Popular","Muy Rápido",3985.5,"2025-03-20T00:00:00.000Z"
"230","kotlin","Moderado","Muy Rápido",2697,"2025-03-20T00:00:00.000Z"
"231","typescript","Muy Popular","Muy Rápido",4349,"2025-03-20T00:00:00.000Z"
"232","objective-c","Muy Popular","Rápido",4933.5,"2025-03-20T00:00:00.000Z"
"233","php","Muy Popular","Lento",409,"2025-03-20T00:00:00.000Z"
"234","go","Poco Usado","Muy Rápido",142.5,"2025-03-20T00:00:00.000Z"
"235","f#","Muy Popular","Rápido",4276.5,"2025-03-20T00:00:00.000Z"
"236","objective-c","Moderado","Lento",351,"2025-03-20T00:00:00.000Z"
"237","c++","Moderado","Rápido",3034,"2025-03-20T00:00:00.000Z"
"238","objective-c","Moderado","Muy Rápido",2393.5,"2025-03-20T00:00:00.000Z"
"239","scala","Moderado","Lento",175.5,"2025-03-20T00:00:00.000Z"
"240","swift","Moderado","Rápido",1833,"2025-03-20T00:00:00.000Z"
"241","rust","Poco Usado","Rápido",882.5,"2025-03-20T00:00:00.000Z"
"242","f#","Moderado","Rápido",2325.5,"2025-03-20T00:00:00.000Z"
"243","swift","Poco Usado","Rápido",1135,"2025-03-20T00:00:00.000Z"
"244","java","Muy Popular","Muy Rápido",4097.5,"2025-03-20T00:00:00.000Z"
"245","perl","Muy Popular","Lento",4657,"2025-03-20T00:00:00.000Z"
"246","scala","Poco Usado","Lento",1406.5,"2025-03-20T00:00:00.000Z"
"247","go","Poco Usado","Rápido",181.5,"2025-03-20T00:00:00.000Z"
"248","swift","Muy Popular","Lento",4219,"2025-03-20T00:00:00.000Z"
"249","go","Moderado","Rápido",3323,"2025-03-20T00:00:00.000Z"
"250","typescript","Poco Usado","Muy Rápido",1295.5,"2025-03-20T00:00:00.000Z"
"251","go","Poco Usado","Rápido",475.5,"2025-03-20T00:00:00.000Z"
"252","typescript","Moderado","Muy Rápido",2639,"2025-03-20T00:00:00.000Z"
"253","python","Moderado","Lento",280.5,"2025-03-20T00:00:00.000Z"
"254","c#","Muy Popular","Lento",4158,"2025-03-20T00:00:00.000Z"
"255","typescript","Poco Usado","Muy Rápido",1340.5,"2025-03-20T00:00:00.000Z"
"256","c++","Muy Popular","Muy Rápido",4942.5,"2025-03-20T00:00:00.000Z"
"257","c++","Muy Popular","Rápido",4522,"2025-03-20T00:00:00.000Z"
"258","scala","Muy Popular","Muy Rápido",4442.5,"2025-03-20T00:00:00.000Z"
"259","go","Muy Popular","Muy Rápido",3887.5,"2025-03-20T00:00:00.000Z"
"260","rust","Moderado","Muy Rápido",31050,"2025-03-20T00:00:00.000Z"
"261","kotlin","Moderado","Rápido",2380,"2025-03-20T00:00:00.000Z"
"262","haskell","Moderado","Muy Rápido",2293,"2025-03-20T00:00:00.000Z"
"263","javascript","Poco Usado","Rápido",282,"2025-03-20T00:00:00.000Z"
"264","php","Moderado","Muy Rápido",1649.5,"2025-03-20T00:00:00.000Z"
"265","java","Muy Popular","Muy Rápido",4238,"2025-03-20T00:00:00.000Z"
"266","haskell","Muy Popular","Lento",4767.5,"2025-03-20T00:00:00.000Z"
"267","java","Muy Popular","Muy Rápido",3996,"2025-03-20T00:00:00.000Z"
"268","dart","Poco Usado","Rápido",684,"2025-03-20T00:00:00.000Z"
"269","c#","Poco Usado","Muy Rápido",1088,"2025-03-20T00:00:00.000Z"
"270","java","Poco Usado","Rápido",1276,"2025-03-20T00:00:00.000Z"
"271","objective-c","Muy Popular","Rápido",4484,"2025-03-20T00:00:00.000Z"
"272","javascript","Muy Popular","Muy Rápido",4298.5,"2025-03-20T00:00:00.000Z"
"273","java","Muy Popular","Muy Rápido",4891,"2025-03-20T00:00:00.000Z"
"274","objective-c","Poco Usado","Muy Rápido",1389,"2025-03-20T00:00:00.000Z"
"275","scala","Muy Popular","Rápido",4176.5,"2025-03-20T00:00:00.000Z"
"276","f#","Poco Usado","Lento",512,"2025-03-20T00:00:00.000Z"
"277","kotlin","Moderado","Muy Rápido",2691,"2025-03-20T00:00:00.000Z"
"278","perl","Poco Usado","Muy Rápido",1340.5,"2025-03-20T00:00:00.000Z"
"279","java","Muy Popular","Lento",4461.5,"2025-03-20T00:00:00.000Z"
"280","perl","Poco Usado","Muy Rápido",186.5,"2025-03-20T00:00:00.000Z"
"281","scala","Muy Popular","Rápido",4323.5,"2025-03-20T00:00:00.000Z"
"282","objective-c","Poco Usado","Muy Rápido",189,"2025-03-20T00:00:00.000Z"
"283","go","Moderado","Lento",2017,"2025-03-20T00:00:00.000Z"
"284","php","Poco Usado","Lento",96,"2025-03-20T00:00:00.000Z"
"285","swift","Moderado","Rápido",3421.5,"2025-03-20T00:00:00.000Z"
"286","f#","Muy Popular","Rápido",3981.5,"2025-03-20T00:00:00.000Z"
"287","java","Muy Popular","Lento",4758.5,"2025-03-20T00:00:00.000Z"
"288","scala","Moderado","Rápido",2325,"2025-03-20T00:00:00.000Z"
"289","scala","Moderado","Lento",3457,"2025-03-20T00:00:00.000Z"
"290","typescript","Moderado","Muy Rápido",2435.5,"2025-03-20T00:00:00.000Z"
"291","f#","Muy Popular","Rápido",4222,"2025-03-20T00:00:00.000Z"
"292","kotlin","Muy Popular","Lento",362,"2025-03-20T00:00:00.000Z"
"293","javascript","Poco Usado","Lento",1266.5,"2025-03-20T00:00:00.000Z"
"294","c#","Muy Popular","Muy Rápido",4387.5,"2025-03-20T00:00:00.000Z"
"295","rust","Poco Usado","Muy Rápido",494.5,"2025-03-20T00:00:00.000Z"
"296","rust","Moderado","Muy Rápido",2048.5,"2025-03-20T00:00:00.000Z"
"297","javascript","Moderado","Muy Rápido",3286,"2025-03-20T00:00:00.000Z"
"298","ruby","Moderado","Rápido",3120,"2025-03-20T00:00:00.000Z"
"299","objective-c","Moderado","Rápido",1574,"2025-03-20T00:00:00.000Z"
"300","rust","Poco Usado","Lento",1216,"2025-03-20T00:00:00.000Z"
"301","f#","Moderado","Lento",1966.5,"2025-03-20T00:00:00.000Z"
"302","scala","Moderado","Lento",2412.5,"2025-03-20T00:00:00.000Z"
"303","f#","Muy Popular","Muy Rápido",4142,"2025-03-20T00:00:00.000Z"
"304","kotlin","Poco Usado","Muy Rápido",948.5,"2025-03-20T00:00:00.000Z"
"305","ruby","Muy Popular","Lento",4910.5,"2025-03-20T00:00:00.000Z"
"306","c#","Muy Popular","Lento",3907.5,"2025-03-20T00:00:00.000Z"
"307","objective-c","Moderado","Muy Rápido",2492,"2025-03-20T00:00:00.000Z"
"308","c++","Poco Usado","Muy Rápido",1091.5,"2025-03-20T00:00:00.000Z"
"309","haskell","Muy Popular","Lento",4912,"2025-03-20T00:00:00.000Z"
"310","php","Poco Usado","Lento",217,"2025-03-20T00:00:00.000Z"
"311","javascript","Muy Popular","Lento",4811,"2025-03-20T00:00:00.000Z"
"312","go","Moderado","Lento",181,"2025-03-20T00:00:00.000Z"
"313","haskell","Moderado","Lento",1755.5,"2025-03-20T00:00:00.000Z"
"314","kotlin","Moderado","Rápido",3175,"2025-03-20T00:00:00.000Z"
"315","javascript","Moderado","Muy Rápido",2886,"2025-03-20T00:00:00.000Z"
"316","python","Moderado","Lento",2568,"2025-03-20T00:00:00.000Z"
"317","swift","Moderado","Lento",1859,"2025-03-20T00:00:00.000Z"
"318","c#","Muy Popular","Rápido",3832,"2025-03-20T00:00:00.000Z"
"319","objective-c","Moderado","Rápido",2733.5,"2025-03-20T00:00:00.000Z"
"320","python","Muy Popular","Lento",4108.5,"2025-03-20T00:00:00.000Z"
"321","c++","Muy Popular","Lento",4209,"2025-03-20T00:00:00.000Z"
"322","objective-c","Muy Popular","Lento",491,"2025-03-20T00:00:00.000Z"
"323","ruby","Poco Usado","Muy Rápido",1093.5,"2025-03-20T00:00:00.000Z"
"324","php","Moderado","Lento",2919.5,"2025-03-20T00:00:00.000Z"
"325","python","Poco Usado","Muy Rápido",1392.5,"2025-03-20T00:00:00.000Z"
"326","scala","Poco Usado","Rápido",734,"2025-03-20T00:00:00.000Z"
"327","go","Poco Usado","Lento",1306,"2025-03-20T00:00:00.000Z"
"328","f#","Moderado","Lento",2457,"2025-03-20T00:00:00.000Z"
"329","php","Muy Popular","Muy Rápido",4688.5,"2025-03-20T00:00:00.000Z"
"330","python","Moderado","Lento",2661,"2025-03-20T00:00:00.000Z"
"331","c#","Moderado","Lento",3110,"2025-03-20T00:00:00.000Z"
"332","java","Muy Popular","Muy Rápido",3587.5,"2025-03-20T00:00:00.000Z"
"333","python","Moderado","Muy Rápido",3140.5,"2025-03-20T00:00:00.000Z"
"334","lua","Muy Popular","Rápido",4778,"2025-03-20T00:00:00.000Z"
"335","kotlin","Muy Popular","Rápido",4121,"2025-03-20T00:00:00.000Z"
"336","r","Muy Popular","Lento",4613.5,"2025-03-20T00:00:00.000Z"
"337","ruby","Poco Usado","Lento",107,"2025-03-20T00:00:00.000Z"
"338","rust","Muy Popular","Lento",4668.5,"2025-03-20T00:00:00.000Z"
"339","scala","Muy Popular","Lento",4608,"2025-03-20T00:00:00.000Z"
"340","ruby","Poco Usado","Muy Rápido",899.5,"2025-03-20T00:00:00.000Z"
"341","c++","Muy Popular","Muy Rápido",3790.5,"2025-03-20T00:00:00.000Z"
"342","javascript","Moderado","Rápido",1526.5,"2025-03-20T00:00:00.000Z"
